11:20:19.947 [main] INFO  com.brianstempin.vindiniumclient.bot.advanced.AdvancedBotRunner - Sending initial request...
11:20:20.320 [main] INFO  com.brianstempin.vindiniumclient.bot.advanced.AdvancedBotRunner - Game URL: http://vindinium.org/0v1o5mnu
11:20:20.476 [main] INFO  com.brianstempin.vindiniumclient.bot.advanced.AdvancedBotRunner - Taking turn 0
11:20:20.476 [main] INFO  mybot.MyBot - Creating pathfinder.
11:20:20.477 [main] INFO  mybot.Pathfinder - Adding threats from hero at (10,5)
11:20:20.477 [main] INFO  mybot.Pathfinder - Adding threats from hero at (10,10)
11:20:20.478 [main] INFO  mybot.Pathfinder - Adding threats from hero at (5,10)
11:20:20.481 [main] INFO  mybot.Pathfinder - Current position (5,5)
11:20:20.481 [main] INFO  mybot.MyBot - Choosing decision maker.
11:20:20.481 [main] INFO  mybot.MyBot - Combat Decision Maker thinks...
11:20:20.481 [main] INFO  mybot.MyBot - Inn Camper Decision Maker thinks...
11:20:20.481 [main] INFO  mybot.TelefragDecisionmaker - Hero random is almost as rich as me.
11:20:20.481 [main] INFO  mybot.MyBot - Telefrag Decision Maker thinks...
11:20:20.481 [main] INFO  mybot.TelefragDecisionmaker - Target found, but no way to suicide.
11:20:20.481 [main] INFO  mybot.MyBot - Healing Decision Maker thinks...
11:20:20.481 [main] INFO  mybot.HealingDecisionMaker - HP at an acceptable level
11:20:20.481 [main] INFO  mybot.MyBot - Looting Decision Maker thinks...
11:20:20.481 [main] INFO  mybot.LootingDecisionMaker - Looting a mine.
11:20:20.481 [main] INFO  mybot.MyBot - Looting Decision Maker shall lead me to glory!
11:20:20.482 [main] INFO  mybot.LootingDecisionMaker - Going to mine at (4,4), distance 27
11:20:20.482 [main] INFO  mybot.Pathfinder - Heading to closest mine at (4,4)
11:20:20.483 [main] INFO  mybot.Pathfinder - Moving towards (4,4)
11:20:20.483 [main] INFO  mybot.Pathfinder - Move direction:North
11:20:20.483 [main] INFO  mybot.MyBot - Turn time 6825644ns
11:20:21.114 [main] INFO  com.brianstempin.vindiniumclient.bot.advanced.AdvancedBotRunner - Taking turn 4
11:20:21.114 [main] INFO  mybot.MyBot - Creating pathfinder.
11:20:21.114 [main] INFO  mybot.Pathfinder - Adding threats from hero at (10,6)
11:20:21.115 [main] INFO  mybot.Pathfinder - Adding threats from hero at (9,10)
11:20:21.116 [main] INFO  mybot.Pathfinder - Adding threats from hero at (6,10)
11:20:21.118 [main] INFO  mybot.Pathfinder - Current position (4,5)
11:20:21.118 [main] INFO  mybot.MyBot - Choosing decision maker.
11:20:21.118 [main] INFO  mybot.MyBot - Combat Decision Maker thinks...
11:20:21.118 [main] INFO  mybot.MyBot - Inn Camper Decision Maker thinks...
11:20:21.118 [main] INFO  mybot.TelefragDecisionmaker - Hero random is almost as rich as me.
11:20:21.119 [main] INFO  mybot.MyBot - Telefrag Decision Maker thinks...
11:20:21.119 [main] INFO  mybot.TelefragDecisionmaker - No telefrag target.
11:20:21.119 [main] INFO  mybot.MyBot - Healing Decision Maker thinks...
11:20:21.119 [main] INFO  mybot.HealingDecisionMaker - HP at an acceptable level
11:20:21.119 [main] INFO  mybot.MyBot - Looting Decision Maker thinks...
11:20:21.119 [main] INFO  mybot.LootingDecisionMaker - Looting a mine.
11:20:21.119 [main] INFO  mybot.MyBot - Looting Decision Maker shall lead me to glory!
11:20:21.120 [main] INFO  mybot.LootingDecisionMaker - Going to mine at (4,4), distance 9
11:20:21.120 [main] INFO  mybot.Pathfinder - Heading to closest mine at (4,4)
11:20:21.120 [main] INFO  mybot.Pathfinder - Moving towards (4,4)
11:20:21.120 [main] INFO  mybot.Pathfinder - Move direction:West
11:20:21.120 [main] INFO  mybot.MyBot - Turn time 5733313ns
11:20:21.752 [main] INFO  com.brianstempin.vindiniumclient.bot.advanced.AdvancedBotRunner - Taking turn 8
11:20:21.752 [main] INFO  mybot.MyBot - Creating pathfinder.
11:20:21.752 [main] INFO  mybot.Pathfinder - Adding threats from hero at (10,7)
11:20:21.752 [main] INFO  mybot.Pathfinder - Adding threats from hero at (9,9)
11:20:21.753 [main] INFO  mybot.Pathfinder - Adding threats from hero at (6,9)
11:20:21.754 [main] INFO  mybot.Pathfinder - Current position (4,5)
11:20:21.754 [main] INFO  mybot.MyBot - Choosing decision maker.
11:20:21.754 [main] INFO  mybot.MyBot - Combat Decision Maker thinks...
11:20:21.754 [main] INFO  mybot.MyBot - Inn Camper Decision Maker thinks...
11:20:21.754 [main] INFO  mybot.TelefragDecisionmaker - Hero random is almost as rich as me.
11:20:21.754 [main] INFO  mybot.MyBot - Telefrag Decision Maker thinks...
11:20:21.754 [main] INFO  mybot.TelefragDecisionmaker - No telefrag target.
11:20:21.754 [main] INFO  mybot.MyBot - Healing Decision Maker thinks...
11:20:21.755 [main] INFO  mybot.HealingDecisionMaker - HP at an acceptable level
11:20:21.756 [main] INFO  mybot.MyBot - Looting Decision Maker thinks...
11:20:21.756 [main] INFO  mybot.LootingDecisionMaker - Looting a mine.
11:20:21.756 [main] INFO  mybot.MyBot - Looting Decision Maker shall lead me to glory!
11:20:21.756 [main] INFO  mybot.LootingDecisionMaker - Going to mine at (7,2), distance 47
11:20:21.756 [main] INFO  mybot.Pathfinder - Heading to closest mine at (7,2)
11:20:21.756 [main] INFO  mybot.Pathfinder - Moving towards (7,2)
11:20:21.756 [main] INFO  mybot.Pathfinder - Move direction:South
11:20:21.756 [main] INFO  mybot.MyBot - Turn time 4273858ns
11:20:22.391 [main] INFO  com.brianstempin.vindiniumclient.bot.advanced.AdvancedBotRunner - Taking turn 12
11:20:22.391 [main] INFO  mybot.MyBot - Creating pathfinder.
11:20:22.391 [main] INFO  mybot.Pathfinder - Adding threats from hero at (10,8)
11:20:22.391 [main] INFO  mybot.Pathfinder - Adding threats from hero at (9,9)
11:20:22.391 [main] INFO  mybot.Pathfinder - Adding threats from hero at (5,9)
11:20:22.392 [main] INFO  mybot.Pathfinder - Current position (5,5)
11:20:22.392 [main] INFO  mybot.MyBot - Choosing decision maker.
11:20:22.392 [main] INFO  mybot.MyBot - Combat Decision Maker thinks...
11:20:22.393 [main] INFO  mybot.MyBot - Inn Camper Decision Maker thinks...
11:20:22.393 [main] INFO  mybot.TelefragDecisionmaker - Hero random is almost as rich as me.
11:20:22.393 [main] INFO  mybot.MyBot - Telefrag Decision Maker thinks...
11:20:22.393 [main] INFO  mybot.TelefragDecisionmaker - Target found, but no way to suicide.
11:20:22.393 [main] INFO  mybot.MyBot - Healing Decision Maker thinks...
11:20:22.393 [main] INFO  mybot.HealingDecisionMaker - HP at an acceptable level
11:20:22.393 [main] INFO  mybot.MyBot - Looting Decision Maker thinks...
11:20:22.393 [main] INFO  mybot.LootingDecisionMaker - Looting a mine.
11:20:22.393 [main] INFO  mybot.MyBot - Looting Decision Maker shall lead me to glory!
11:20:22.393 [main] INFO  mybot.LootingDecisionMaker - Going to mine at (7,2), distance 30
11:20:22.393 [main] INFO  mybot.Pathfinder - Heading to closest mine at (7,2)
11:20:22.393 [main] INFO  mybot.Pathfinder - Moving towards (7,2)
11:20:22.393 [main] INFO  mybot.Pathfinder - Move direction:West
11:20:22.393 [main] INFO  mybot.MyBot - Turn time 2051549ns
11:20:23.022 [main] INFO  com.brianstempin.vindiniumclient.bot.advanced.AdvancedBotRunner - Taking turn 16
11:20:23.022 [main] INFO  mybot.MyBot - Creating pathfinder.
11:20:23.023 [main] INFO  mybot.Pathfinder - Adding threats from hero at (10,7)
11:20:23.023 [main] INFO  mybot.Pathfinder - Adding threats from hero at (9,10)
11:20:23.023 [main] INFO  mybot.Pathfinder - Adding threats from hero at (5,8)
11:20:23.023 [main] INFO  mybot.Pathfinder - Current position (5,4)
11:20:23.023 [main] INFO  mybot.MyBot - Choosing decision maker.
11:20:23.023 [main] INFO  mybot.MyBot - Combat Decision Maker thinks...
11:20:23.024 [main] INFO  mybot.MyBot - Inn Camper Decision Maker thinks...
11:20:23.024 [main] INFO  mybot.TelefragDecisionmaker - Hero random is almost as rich as me.
11:20:23.024 [main] INFO  mybot.MyBot - Telefrag Decision Maker thinks...
11:20:23.024 [main] INFO  mybot.TelefragDecisionmaker - No telefrag target.
11:20:23.024 [main] INFO  mybot.MyBot - Healing Decision Maker thinks...
11:20:23.024 [main] INFO  mybot.HealingDecisionMaker - HP at an acceptable level
11:20:23.024 [main] INFO  mybot.MyBot - Looting Decision Maker thinks...
11:20:23.024 [main] INFO  mybot.LootingDecisionMaker - Looting a mine.
11:20:23.024 [main] INFO  mybot.MyBot - Looting Decision Maker shall lead me to glory!
11:20:23.024 [main] INFO  mybot.LootingDecisionMaker - Going to mine at (7,2), distance 24
11:20:23.024 [main] INFO  mybot.Pathfinder - Heading to closest mine at (7,2)
11:20:23.024 [main] INFO  mybot.Pathfinder - Moving towards (7,2)
11:20:23.024 [main] INFO  mybot.Pathfinder - Move direction:West
11:20:23.024 [main] INFO  mybot.MyBot - Turn time 1563658ns
11:20:23.652 [main] INFO  com.brianstempin.vindiniumclient.bot.advanced.AdvancedBotRunner - Taking turn 20
11:20:23.652 [main] INFO  mybot.MyBot - Creating pathfinder.
11:20:23.652 [main] INFO  mybot.Pathfinder - Adding threats from hero at (10,7)
11:20:23.653 [main] INFO  mybot.Pathfinder - Adding threats from hero at (9,10)
11:20:23.653 [main] INFO  mybot.Pathfinder - Adding threats from hero at (5,8)
11:20:23.653 [main] INFO  mybot.Pathfinder - Current position (5,3)
11:20:23.653 [main] INFO  mybot.MyBot - Choosing decision maker.
11:20:23.653 [main] INFO  mybot.MyBot - Combat Decision Maker thinks...
11:20:23.653 [main] INFO  mybot.MyBot - Inn Camper Decision Maker thinks...
11:20:23.653 [main] INFO  mybot.TelefragDecisionmaker - Hero random is almost as rich as me.
11:20:23.653 [main] INFO  mybot.MyBot - Telefrag Decision Maker thinks...
11:20:23.653 [main] INFO  mybot.TelefragDecisionmaker - No telefrag target.
11:20:23.653 [main] INFO  mybot.MyBot - Healing Decision Maker thinks...
11:20:23.653 [main] INFO  mybot.HealingDecisionMaker - HP at an acceptable level
11:20:23.653 [main] INFO  mybot.MyBot - Looting Decision Maker thinks...
11:20:23.654 [main] INFO  mybot.LootingDecisionMaker - Looting a mine.
11:20:23.654 [main] INFO  mybot.MyBot - Looting Decision Maker shall lead me to glory!
11:20:23.654 [main] INFO  mybot.LootingDecisionMaker - Going to mine at (7,2), distance 19
11:20:23.654 [main] INFO  mybot.Pathfinder - Heading to closest mine at (7,2)
11:20:23.654 [main] INFO  mybot.Pathfinder - Moving towards (7,2)
11:20:23.654 [main] INFO  mybot.Pathfinder - Move direction:South
11:20:23.654 [main] INFO  mybot.MyBot - Turn time 1459153ns
11:20:24.281 [main] INFO  com.brianstempin.vindiniumclient.bot.advanced.AdvancedBotRunner - Taking turn 24
11:20:24.282 [main] INFO  mybot.MyBot - Creating pathfinder.
11:20:24.282 [main] INFO  mybot.Pathfinder - Adding threats from hero at (10,7)
11:20:24.282 [main] INFO  mybot.Pathfinder - Adding threats from hero at (9,11)
11:20:24.282 [main] INFO  mybot.Pathfinder - Adding threats from hero at (5,8)
11:20:24.283 [main] INFO  mybot.Pathfinder - Current position (6,3)
11:20:24.283 [main] INFO  mybot.MyBot - Choosing decision maker.
11:20:24.283 [main] INFO  mybot.MyBot - Combat Decision Maker thinks...
11:20:24.283 [main] INFO  mybot.MyBot - Inn Camper Decision Maker thinks...
11:20:24.283 [main] INFO  mybot.TelefragDecisionmaker - Hero random is almost as rich as me.
11:20:24.283 [main] INFO  mybot.MyBot - Telefrag Decision Maker thinks...
11:20:24.283 [main] INFO  mybot.TelefragDecisionmaker - No telefrag target.
11:20:24.283 [main] INFO  mybot.MyBot - Healing Decision Maker thinks...
11:20:24.283 [main] INFO  mybot.Pathfinder - Hero Pancake is standing next to an inn at (7,3)
11:20:24.283 [main] INFO  mybot.HealingDecisionMaker - Healing to full HP.
